sentiment_group,pnl_volatility,loss_rate,mean,std,risk_adjusted_score
Fear,31224.148764375605,0.12025316455696203,5185.146443205063,31224.148764375605,0.16606205928409243
Greed,29252.03767670534,0.075809199318569,4144.208333580919,29252.03767670534,0.14167246669729033
Neutral,17447.863644987145,0.11170212765957446,3438.6188179521278,17447.863644987145,0.1970796475670567
