,daily_pnl,daily_win_rate,daily_trade_count,avg_trade_size_usd,value,long_short_ratio,next_day_abs_pnl
count,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2308.0
mean,4382.259380045299,0.35965276205246216,90.26410256410256,6986.18684717351,54.85213675213675,330770.81161407015,6376.34804542201
std,28411.10338345024,0.34341912148492737,214.650554464959,21542.693224337334,20.619321240752463,3448886.6646257667,28231.691317031837
min,-358963.139984,0.0,1.0,0.0,10.0,0.0,0.0
25%,0.0,0.0,9.0,692.6963025210083,34.0,0.5623099595353235,0.0
50%,206.35269549999998,0.3181818181818182,29.0,1913.7619491525425,55.0,0.9279660997288854,397.354733
75%,1842.7637295,0.6073571428571428,80.0,7033.497291666667,74.0,1.4212454100246772,2512.68592975
max,533974.662903,1.0,4083.0,844654.19,94.0,74000000.0,533974.662903
